Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
22 Aug 1977 17:31:44.000   131206365.1907345         -68469847.84244673        -29040468.4942913         16.84931586228351         30.77584707760564         16.89682577808438         
22 Aug 1977 18:31:44.000   131266989.6498691         -68359038.17621444        -28979633.14524347        16.8309379123056          30.78507827732597         16.90059087593553         
22 Aug 1977 19:31:44.000   131327547.9341345         -68248195.28179054        -28918784.23672915        16.8125520125952          30.79430707124019         16.90435871178089         
22 Aug 1977 20:31:44.000   131388040.0145638         -68137319.16901924        -28857921.75997579        16.79415797121518         30.80353280704597         16.90812868902578         
22 Aug 1977 21:31:44.000   131448465.8615201         -68026409.85002534        -28797045.70829006        16.77575561237953         30.81275487882982         16.91190025423766         
22 Aug 1977 22:31:44.000   131508825.4447695         -67915467.33901945        -28736156.07688773        16.75734477497948         30.82197272289677         16.91567289325867         
22 Aug 1977 23:31:44.000   131569118.7335225         -67804491.65217212        -28675252.86277098        16.73892531128426         30.83118581404425         16.91944612772192         
23 Aug 1977 00:31:44.000   131629345.6964684         -67693482.80750218        -28614336.06461735        16.72049708577153         30.84039366221228         16.92321951194326         
23 Aug 1977 01:31:44.000   131689506.3018456         -67582440.82470286        -28553405.68263626        16.70205997407118         30.84959580949145         16.92699263012635         
23 Aug 1977 02:31:44.000   131749600.5174557         -67471365.72507636        -28492461.71849191        16.68361386202798         30.85879182742309         16.93076509385262         
23 Aug 1977 03:31:44.000   131809628.3107006         -67360257.53142959        -28431504.17520789        16.66515864485554         30.8679813145714          16.93453653981665         
23 Aug 1977 04:31:44.000   131869589.6486289         -67249116.26795293        -28370533.05706401        16.64669422636721         30.8771638943334          16.93830662778638         
23 Aug 1977 05:31:44.000   131929484.4979573         -67137941.96015173        -28309548.36952695        16.62822051828843         30.88633921295635         16.94207503875751         
23 Aug 1977 06:31:44.000   131989312.8250902         -67026734.63478016        -28248550.11918335        16.60973743963497         30.89550693774203         16.9458414732824          
23 Aug 1977 07:31:44.000   132049074.5961632         -66915494.31973638        -28187538.31365535        16.59124491614074         30.9046667554219          16.94960564995629         
23 Aug 1977 08:31:44.000   132108769.777048          -66804221.04402729        -28126512.96155494        16.57274287974958         30.91381837067721         16.95336730404055         
23 Aug 1977 09:31:44.000   132168398.3333817         -66692914.83769268        -28065474.07241909        16.55423126814777         30.92296150479285         16.95712618621033         
23 Aug 1977 10:31:44.000   132227960.2305921         -66581575.73173851        -28004421.65665149        16.53571002433567         30.93209589443433         16.96088206141542         
23 Aug 1977 11:31:44.000   132287455.4339106         -66470203.75809219        -27943355.72547739        16.51717909624305         30.94122129052926         16.96463470784159         
23 Aug 1977 12:31:44.000   132346883.9083813         -66358798.94957004        -27882276.29090738        16.49863843638391         30.95033745726273         16.96838391599631         
